source_class_id,target_class_id,source_display_name,target_display_name,structural_weight,semantic_similarity,edge_category
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.ProductMapper,Product,ProductMapper,1,0.54099259709999714,overlap
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.service.CatalogService,Product,CatalogService,1,,structural_only
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.web.actions.CatalogActionBean,Product,CatalogActionBean,3,,structural_only
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.SequenceMapper,Sequence,SequenceMapper,3,0.60953448031745261,overlap
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.service.OrderService,Sequence,OrderService,8,0.50474016832623458,overlap
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.CategoryMapper,AccountMapper,CategoryMapper,,0.64545738008634557,semantic_only
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.OrderMapper,AccountMapper,OrderMapper,,0.76132247711324375,semantic_only
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.SequenceMapper,AccountMapper,SequenceMapper,,0.64148321393757823,semantic_only
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.service.AccountService,AccountMapper,AccountService,18,0.78078361344057967,overlap
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.ItemMapper,CategoryMapper,ItemMapper,,0.6423488805059937,semantic_only
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.OrderMapper,CategoryMapper,OrderMapper,,0.68072112201397272,semantic_only
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.ProductMapper,CategoryMapper,ProductMapper,,0.7838281292458078,semantic_only
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.SequenceMapper,CategoryMapper,SequenceMapper,,0.63652114184432596,semantic_only
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.service.CatalogService,CategoryMapper,CatalogService,6,0.60422517840325662,overlap
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,ItemMapper,LineItemMapper,,0.71001494982185653,semantic_only
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ProductMapper,ItemMapper,ProductMapper,,0.7166865564904602,semantic_only
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.service.CatalogService,ItemMapper,CatalogService,8,,structural_only
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.service.OrderService,ItemMapper,OrderService,8,,structural_only
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.OrderMapper,LineItemMapper,OrderMapper,,0.72779170848032826,semantic_only
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.ProductMapper,LineItemMapper,ProductMapper,,0.62575951134158203,semantic_only
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.service.OrderService,LineItemMapper,OrderService,6,,structural_only
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.ProductMapper,OrderMapper,ProductMapper,,0.67650355178336685,semantic_only
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.SequenceMapper,OrderMapper,SequenceMapper,,0.65617193110919547,semantic_only
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.service.AccountService,OrderMapper,AccountService,,0.58260401862115008,semantic_only
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.service.OrderService,OrderMapper,OrderService,10,0.6701492442921817,overlap
org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.service.CatalogService,ProductMapper,CatalogService,8,0.60978930036534951,overlap
org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.service.OrderService,SequenceMapper,OrderService,6,,structural_only
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.OrderService,AccountService,OrderService,,0.58380646047120865,semantic_only
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.web.actions.AccountActionBean,AccountService,AccountActionBean,11,,structural_only
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.web.actions.AccountActionBean,CatalogService,AccountActionBean,7,,structural_only
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.web.actions.CartActionBean,CatalogService,CartActionBean,5,,structural_only
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.web.actions.CatalogActionBean,CatalogService,CatalogActionBean,13,0.60081867871696293,overlap
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.web.actions.OrderActionBean,OrderService,OrderActionBean,7,,structural_only
org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,AbstractActionBean,AccountActionBean,5,0.62156736065781304,overlap
org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,AbstractActionBean,CartActionBean,9,0.5715952856989599,overlap
org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,AbstractActionBean,CatalogActionBean,5,,structural_only
org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,AbstractActionBean,OrderActionBean,13,0.5768369312625633,overlap
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,AccountActionBean,CartActionBean,,0.64060347762808123,semantic_only
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,AccountActionBean,CatalogActionBean,,0.72262326108574537,semantic_only
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,AccountActionBean,OrderActionBean,8,0.70496421024859734,overlap
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,CartActionBean,CatalogActionBean,,0.74533501154472315,semantic_only
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,CartActionBean,OrderActionBean,4,0.70506959207828912,overlap
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,CatalogActionBean,OrderActionBean,,0.66739122603852452,semantic_only
