path,classification,needed_by_stage3b,read_allowed,write_allowed,action
reports/stage3/bug_reports/daytrader_seed_03_projection_serialization.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/bug_reports/jpetstore_seed_02_projection_serialization.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/day3_runtime_probe.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/day4_semantic_graph_report.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/day5_single_seed_status.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/day5_single_seed_validation.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/day6_process_state.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/day6_process_state.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/daytrader_formal_summary.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/daytrader_formal_summary.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/embedding_quality_summary.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/embedding_stability.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/formal_run_manifest.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/formal_seed_inventory.csv,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/formal_seed_inventory.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/go_no_go_status.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/input_quality_summary.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/jpetstore_formal_summary.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/jpetstore_formal_summary.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/nomic_runtime_smoke_test.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/pilot_validation_summary.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/pilot_validation_summary.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/python_environment_freeze.txt,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/reproducibility_environment.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/reproducibility_toolchain.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_00.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_01.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_02.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_03.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_04.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_05.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_06.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_07.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_08.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_09.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_10.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_11.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_12.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_13.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_14.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_15.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_16.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_17.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_18.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_19.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_20.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_21.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_22.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_23.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_24.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_25.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_26.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_27.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_28.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/daytrader/seed_29.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_00.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_01.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_02.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_03.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_04.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_05.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_06.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_07.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_08.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_09.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_10.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_11.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_12.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_13.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_14.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_15.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_16.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_17.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_18.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_19.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_20.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_21.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_22.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_23.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_24.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_25.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_26.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_27.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_28.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/jpetstore/seed_29.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_00.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_01.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_02.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_03.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_04.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_05.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_06.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_07.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_08.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_09.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_10.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_11.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_12.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_13.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_14.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_15.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_16.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_17.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_18.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_19.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_20.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_21.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_22.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_23.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_24.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_25.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_26.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_27.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_28.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/seed_validation/xerces/seed_29.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage2_alignment_check.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage2_alignment_check.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage2_vs_stage3_analysis_manifest.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage2_vs_stage3_external_metric_evaluation.csv,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage2_vs_stage3_paired_analysis.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage2_vs_stage3_paired_descriptive_summary.csv,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage2_vs_stage3_paired_seed_metrics.csv,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage2_vs_stage3_paired_statistical_tests.csv,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage2_vs_stage3_partition_change.csv,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage3_formal_validation_summary.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage3_formal_validation_summary.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/stage3a_final_closure.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/xerces_formal_launch.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/xerces_formal_launch.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/xerces_formal_summary.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/xerces_formal_summary.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/xerces_formal_validation.json,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/xerces_formal_validation.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3/xerces_runtime_budget.md,Group B,evaluation-only,evaluation-only,no,retain frozen Stage 3A evidence
reports/stage3_method_body/inherited_stage3a_file_audit.csv,Group D,yes,yes,yes,continue only under Stage 3B namespace
reports/stage3_method_body/inherited_stage3a_file_audit.md,Group D,yes,yes,yes,continue only under Stage 3B namespace
reports/stage3_method_body/stage3a_cleanup_candidates.md,Group D,yes,yes,yes,continue only under Stage 3B namespace
reports/stage3_method_body/stage3a_path_reference_audit.csv,Group D,yes,yes,yes,continue only under Stage 3B namespace
reports/stage3_method_body/stage3a_pipeline_commit_map.md,Group D,yes,yes,yes,continue only under Stage 3B namespace
reports/stage3_method_body/stage3b_artifact_boundary.md,Group D,yes,yes,yes,continue only under Stage 3B namespace
reports/stage3_method_body/stage3b_scope_and_status.md,Group D,yes,yes,yes,continue only under Stage 3B namespace
requirements-stage3-lock.txt,Group A,yes,yes,no,retain; no Stage 3B boundary change required
requirements.txt,Group A,yes,yes,no,retain; no Stage 3B boundary change required
requirements/historical_stage2_lock_b2ee9d0.txt,Group A,yes,yes,no,retain; no Stage 3B boundary change required
requirements/stage2_formal_manifest_observed.txt,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/README.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/analysis_metadata.json,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/bonferroni_10_vs_12_comparison.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/audit_manifest.json,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/command_log.md,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/front_spearman_per_seed.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/front_spearman_summary.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/front_vs_paired_leiden_condition_counts.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/leiden_candidate_metrics.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/matched_imbalance_caliper_summary.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/matched_imbalance_pairwise_statistics.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/matched_imbalance_pooled.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/matched_imbalance_same_seed.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/matched_imbalance_same_seed_cluster_count_delta_le_1.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/paired_leiden_metrics.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/structural_sensitivity_per_seed.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/daytrader_tradeoff_final_aligned/superseded_prior_diagnostic.json,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/formal_output_sha256sums.txt,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/max_cluster_posthoc_sensitivity/posthoc_max_cluster_sensitivity_per_seed.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/max_cluster_posthoc_sensitivity/posthoc_max_cluster_sensitivity_summary.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/cross_subject/03_stage2_nsga/final_statistics/paired_selected_vs_leiden_wilcoxon.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/calibration/reference_classes_not_found.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/calibration/reference_mapping_validation.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/calibration/selected_baseline_profiles.yml,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/calibration/top_ssa_degree_classes.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/calibration/top_weight_settings.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/calibration/unmapped_extracted_classes.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/calibration/weight_sweep_summary.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/clustering/leiden_raw_clusters.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/clustering/leiden_raw_partition_metrics.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
results/daytrader/00_pre_experiment/clustering/leiden_ssa_clusters.csv,Group A,yes,yes,no,retain; no Stage 3B boundary change required
