path,line,matched_text,classification,stage3b_risk,required_action
scripts/stage3_method_body/audit_paths.py,12,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,14,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,14,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,14,stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,14,semantic_embeddings,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,14,semantic_graph,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,14,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,35,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,45,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,46,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,51,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,52,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,110,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,116,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,124,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,124,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,132,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/audit_paths.py,132,semantic_graph,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/extract_method_bodies.py,103,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/isolation.py,18,04_stage3_semantic,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/isolation.py,20,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/isolation.py,21,reports/stage3,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/isolation.py,23,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/isolation.py,25,semantic_graph,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/isolation.py,62,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/isolation.py,64,semantic_graph,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/method_body_normalization.py,281,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/method_body_normalization.py,285,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/method_body_normalization.py,289,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/method_body_normalization.py,293,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/method_body_normalization.py,296,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/method_body_normalization.py,296,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/method_body_normalization.py,299,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
scripts/stage3_method_body/method_body_normalization.py,300,semantic_text,intentional Stage 3B boundary/audit reference,low,retain; these references enforce isolation
tests/test_stage3_method_body_isolation.py,30,reports/stage3,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
tests/test_stage3_method_body_isolation.py,32,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
tests/test_stage3_method_body_isolation.py,32,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
tests/test_stage3_method_body_isolation.py,41,04_stage3_semantic,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
tests/test_stage3_method_body_isolation.py,42,reports/stage3,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
tests/test_stage3_method_body_isolation.py,45,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
tests/test_stage3_method_body_isolation.py,50,04_stage3_semantic,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
tests/test_stage3_method_body_isolation.py,52,reports/stage3,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
tests/test_stage3_method_body_isolation.py,58,04_stage3_semantic,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
tests/test_stage3_method_body_isolation.py,98,04_stage3_semantic,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
tests/test_stage3_method_body_isolation.py,104,04_stage3_semantic,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
configs/experiments/04_stage3_semantic.yml,1,04_stage3_semantic,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
configs/experiments/04_stage3_semantic.yml,38,semantic_text,reusable semantic concept,review,parameterize only if used as an artifact path
configs/experiments/04_stage3_semantic.yml,59,semantic_text,reusable semantic concept,review,parameterize only if used as an artifact path
configs/experiments/04_stage3_semantic.yml,106,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
configs/experiments/04_stage3_semantic.yml,138,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
configs/experiments/04_stage3_semantic.yml,149,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
data/semantic_inputs/daytrader_class_declarations.csv,1,semantic_text,reusable semantic concept,review,parameterize only if used as an artifact path
data/semantic_inputs/jpetstore_class_declarations.csv,1,semantic_text,reusable semantic concept,review,parameterize only if used as an artifact path
data/semantic_inputs/xerces-j_class_declarations.csv,1,semantic_text,reusable semantic concept,review,parameterize only if used as an artifact path
docs/stage3/method_contract.md,35,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
docs/stage3/method_contract.md,62,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
docs/stage3/method_contract.md,67,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
docs/stage3/method_contract.md,73,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
docs/stage3/method_contract.md,75,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
experiments/04_stage3_semantic/run.py,53,04_stage3_semantic,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
experiments/04_stage3_semantic/run.py,56,reports/stage3,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
experiments/04_stage3_semantic/run.py,90,04_stage3_semantic,dangerous hard-coded Stage 3A route,high,route Stage 3B through explicit 05 config and identity guards
experiments/04_stage3_semantic/run.py,155,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
experiments/04_stage3_semantic/run.py,158,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
experiments/04_stage3_semantic/run.py,179,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
experiments/04_stage3_semantic/run.py,180,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
experiments/04_stage3_semantic/run.py,225,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
experiments/04_stage3_semantic/run.py,297,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
experiments/04_stage3_semantic/run.py,447,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
experiments/04_stage3_semantic/run.py,464,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
experiments/04_stage3_semantic/run.py,561,semantic_graph,reusable semantic concept,review,parameterize only if used as an artifact path
reports/stage3/bug_reports/daytrader_seed_03_projection_serialization.json,6,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/bug_reports/jpetstore_seed_02_projection_serialization.json,6,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,128,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,129,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,130,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,131,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,132,semantic_graph,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,132,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,133,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,134,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,135,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,136,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,137,stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,138,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,139,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,151,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,152,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,153,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,154,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,155,semantic_graph,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,155,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,156,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,157,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,158,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,159,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,160,stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,161,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,162,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,174,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,175,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,176,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,177,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,178,semantic_graph,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,178,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,179,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,180,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,181,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,182,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,183,stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,184,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day4_semantic_graph_report.md,185,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day5_single_seed_status.json,46,semantic_graph,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day6_process_state.json,9,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/day6_process_state.json,20,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,12,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,34,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,35,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,36,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,37,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,38,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,39,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,40,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,41,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,42,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,43,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,44,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,68,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,141,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,193,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,211,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,235,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,254,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,275,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,310,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,330,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,349,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,375,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,456,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,542,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,561,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,577,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,615,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,636,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,654,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,704,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,724,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,745,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,879,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,1020,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,1036,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,1052,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,1069,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,1100,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,1120,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,1140,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/embedding_quality_summary.md,1160,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,3,stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,41,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,51,reports/stage3,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,60,semantic_text,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,68,semantic_graph,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,124,semantic_graph,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,133,semantic_graph,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,331,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,339,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,347,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,351,semantic_graph,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,359,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,370,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/formal_run_manifest.json,381,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,5,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,16,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,23,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,30,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,37,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,39,semantic_graph,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,44,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,51,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,58,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,65,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,72,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,79,stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,86,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,99,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
reports/stage3/go_no_go_status.json,108,04_stage3_semantic,historical or documentation-only Stage 3A reference,low,preserve; do not rewrite frozen provenance
