path,line,matching_text,literal_class,commit,date,label,mean,median,seed_inventory,source_partition,evaluator,reference,direction,coverage,missing_seed,seed0_included,aggregation,rounding
reports/stage3/stage2_vs_stage3_paired_descriptive_summary.csv,39,"daytrader,mojofm_vs_reference,secondary,higher,30,0,23.55072463768116,25.217391304347824,1.6666666666666685,3.1828924209177782,2.3260133940083692,15.217391304347828,28.260869565217394,19.565217391304344,30.434782608695656,23.913043478260864,26.086956521739136,0,3.6413835983827387,-4.3478260869565304,10.869565217391308,0.43478260869565294,2.9710144927536262,10000,889308432,13,12,5,0.43333333333333335,available,",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
reports/stage3/stage2_vs_stage3_paired_statistical_tests.csv,30,"daytrader,mojofm_vs_reference,secondary,higher,higher,Stage 3 minus Stage 2,30,23.55072463768116,25.217391304347824,1.6666666666666685,0,13,12,5,13,5,""paired Wilcoxon signed-rank, two-sided"",31.5,0.018199337940851816,0.018199337940851816,0.63157894736842102,0.63157894736842102,0.43478260869565294,2.9710144927536262,0,2.1739130434782723,10000,889308432,tested,tested,True,holm,35,0.050000000000000003,0.48322122864458339,False,secondary,holm,0.48322122864458339",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
reports/stage3_method_body/formal_external_metrics_summary.csv,3,"daytrader,stage2,mojofm_vs_reference,30,23.55072463768116009,23.91304347826086385,15.217391304347827941,28.260869565217394239,available",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
reports/stage3_method_body/stage3a_vs_stage3b_embedding_shift.csv,334,"xerces,org.apache.xerces.impl.dv.xs.PrecisionDecimalDV,de9b15c90c0cbe1b27bedbfe49e0fe5decc979094226a57949ad1ac01e587369,0ffb68c8273a1df9e4ae6cc80933307c744cadee0e9b6fdf5e21a4c9b77e7f3f,0.823426702376,0.176573297624,0.594288249393,false,23,55,88,0,not_detected,,,false,true",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
results/jpetstore/03_stage2_nsga/convergence_diagnostic/hypervolume_by_generation.csv,42,"jpetstore,0,41,0.3610371268845323,0.3610371268845323,55",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
results/xerces/04_stage3_semantic/embeddings/embedding_hashes.csv,85,"org.apache.xerces.dom.SecuritySupport$8,3fb44aac69d888d2755eca62a1e593fa088043d6451fd19b3a90cfbc8a92ff23,41cb13401df15ed517a8bb90411969d52a8cc42bbae271276920ccd8581e7cae",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
results/xerces/04_stage3_semantic/embeddings/embedding_hashes.csv,204,"org.apache.xerces.impl.dv.SecuritySupport$8,3fb44aac69d888d2755eca62a1e593fa088043d6451fd19b3a90cfbc8a92ff23,41cb13401df15ed517a8bb90411969d52a8cc42bbae271276920ccd8581e7cae",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
results/xerces/04_stage3_semantic/embeddings/embedding_hashes.csv,572,"org.apache.xerces.parsers.SecuritySupport$8,3fb44aac69d888d2755eca62a1e593fa088043d6451fd19b3a90cfbc8a92ff23,41cb13401df15ed517a8bb90411969d52a8cc42bbae271276920ccd8581e7cae",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
results/xerces/04_stage3_semantic/embeddings/embedding_hashes.csv,681,"org.apache.xerces.xinclude.SecuritySupport$8,3fb44aac69d888d2755eca62a1e593fa088043d6451fd19b3a90cfbc8a92ff23,41cb13401df15ed517a8bb90411969d52a8cc42bbae271276920ccd8581e7cae",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
results/xerces/04_stage3_semantic/embeddings/embedding_hashes.csv,808,"org.apache.xml.serialize.SecuritySupport$8,3fb44aac69d888d2755eca62a1e593fa088043d6451fd19b3a90cfbc8a92ff23,41cb13401df15ed517a8bb90411969d52a8cc42bbae271276920ccd8581e7cae",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
results/xerces-j/03_stage2_nsga/robustness_final_30seeds/seed_03/pareto_front.csv,101,"xerces-j,3,seed3_solution099,0.9769662113587347,0.2625354392780573,0.3955392415253216,0.9769662113587347,-0.2625354392780573,0.3955392415253216,True,False,,,""[0, 1, 0, 2, 2, 3, 4, 4, 5, 6, 6, 7, 8, 7, 8, 9, 10, 11, 12, 9, 13, 7, 11, 8, 10, 12, 14, 3, 8, 15, 16, 15, 9, 15, 17, 17, 18, 19, 13, 0, 16, 1, 0, 13, 11, 20, 21, 22, 1, 23, 21, 24, 25, 26, 9, 10, 17, 20, 27, 16, 8, 16, 6, 1, 28, 29, 9, 30, 3, 9, 2, 24, 8, 9, 22, 4, 24, 31, 7, 30, 16, 13, 32, 2, 33, 0, 17, 20, 14, 30, 29, 34, 29, 35, 2, 33",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
scripts/preference_analysis/audit_preference_analysis.py,500,"                occurrences.append({""path"": relative(path), ""line"": line_number, ""matching_text"": line[:500], ""literal_class"": ""23.41/23.55 variant"", ""commit"": ""working-tree occurrence; commit provenance resolved by surrounding report history"", ""date"": ""see Git history/file metadata"", ""label"": ""unknown unless report row is self-describing"", ""mean"": ""unknown"", ""median"": ""unknown"", ""seed_inventory"": ""unknown"", ""source_partition"": ""unknown"", ""evaluator"": ""unknown"", ""reference"": ""unknown"", ""directio",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
scripts/preference_analysis/audit_preference_analysis.py,522,The exact 23.55 variant is the rounded mean/summary value also present in the,23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
scripts/preference_analysis/audit_preference_analysis.py,524,Git-history occurrence identifies a DayTrader Stage 2 value of exactly 23.41.,23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
scripts/preference_analysis/audit_preference_analysis.py,526,"Stage 2 conservative mean, and is not interchangeable. Any unproven 23.41",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
scripts/preference_analysis/audit_preference_analysis.py,531,"        {""value_label"": ""23.55072463768116"", ""source"": ""recomputed saved Stage 2 selected partitions seeds 0..29; accepted stage2 comparison reports"", ""statistic"": ""mean"", ""status"": ""authoritative"", ""reason"": ""complete seed inventory, frozen evaluator, frozen reference, explicit direction and coverage""},",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
scripts/preference_analysis/audit_preference_analysis.py,532,"        {""value_label"": ""23.41"", ""source"": ""no exact DayTrader Stage 2 occurrence found in reachable working tree or Git history"", ""statistic"": ""unknown"", ""status"": ""superseded/unverifiable"", ""reason"": ""no provenance for seed set, partition source, evaluator, direction, or aggregation; nearby 23.405797 is Stage3A knee median""},",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
scripts/preference_analysis/audit_preference_analysis.py,905,"        ""superseded_mojofm_value"": ""23.41 (unverifiable DayTrader Stage 2 aggregation/profile claim)"",",23.41/23.55 variant,working-tree occurrence; commit provenance resolved by surrounding report history,see Git history/file metadata,unknown unless report row is self-describing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
