stage,subject,profile,metrics,reference_status,reference_path,reference_sha256,evaluator,seed_count_in_source,finite_mojofm_n,aggregation,selection_influenced_by_external_metrics,unavailable_means_not_zero
stage2,xerces,extreme_balance,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage2,xerces,knee_native,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,daytrader,budgeted_balance_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,20,"median, mean, IQR over finite available per-seed values",False,False
stage3a,daytrader,budgeted_semantic_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,20,"median, mean, IQR over finite available per-seed values",False,False
stage3a,daytrader,conservative,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage3a,daytrader,extreme_balance,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage3a,daytrader,extreme_semantic,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage3a,daytrader,knee_native,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage3a,jpetstore,budgeted_balance_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,jpetstore,budgeted_semantic_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,jpetstore,conservative,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,jpetstore,extreme_balance,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,jpetstore,extreme_semantic,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,jpetstore,knee_native,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,xerces,budgeted_balance_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,xerces,budgeted_semantic_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,xerces,conservative,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,xerces,extreme_balance,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,xerces,extreme_semantic,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3a,xerces,knee_native,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,daytrader,budgeted_balance_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,19,"median, mean, IQR over finite available per-seed values",False,False
stage3b,daytrader,budgeted_semantic_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,19,"median, mean, IQR over finite available per-seed values",False,False
stage3b,daytrader,conservative,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage3b,daytrader,extreme_balance,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage3b,daytrader,extreme_semantic,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage3b,daytrader,knee_native,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",available,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,30,"median, mean, IQR over finite available per-seed values",False,False
stage3b,jpetstore,budgeted_balance_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,jpetstore,budgeted_semantic_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,jpetstore,conservative,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,jpetstore,extreme_balance,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,jpetstore,extreme_semantic,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,jpetstore,knee_native,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,xerces,budgeted_balance_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,xerces,budgeted_semantic_0.050,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,xerces,conservative,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,xerces,extreme_balance,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,xerces,extreme_semantic,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
stage3b,xerces,knee_native,"mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference",unavailable,,,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,30,0,"median, mean, IQR over finite available per-seed values",False,True
